bearID,sampleDate,sampleTime,latitude,longitude,agency,sex,bearAge,ageCode,cubAgeClass,reproClass,SLBL,correctedSLBL,girth,mass,cortisolAssay_pg_mg,,
155,1988-10-29,11:29,70.6167,-147.9333,usgs,F,7,A,C0,E0,NA,NA,NA,NA,3.5955,,
156,1988-10-30,10:11,70.8667,-151.1167,usgs,F,4,S,NA,SF,NA,NA,NA,NA,5.1958,,
157,1988-11-01,11:12,70.2667,-144.3667,usgs,M,4,S,NA,SM,NA,NA,NA,NA,3.0536,,
158,1988-11-01,12:08,70.2500,-144.0833,usgs,F,9,A,C0,E0,NA,NA,NA,NA,2.5675,,
159,1988-11-03,14:00,70.6167,-146.6833,usgs,F,4,S,NA,SF,NA,NA,NA,NA,2.7914,,
160,2004-05-01,0:00,70.1425,-141.1200,usgs,M,17,A,NA,AM,NA,NA,NA,NA,15.3252,,
161,1988-11-12,11:50,71.0500,-151.6000,usgs,F,4,S,NA,SF,NA,NA,NA,NA,2.4755,,
162,1989-03-29,13:00,71.3333,-151.3333,usgs,F,15,A,C1,E0,NA,NA,NA,NA,2.8571,,
163,2004-04-06,0:00,71.4430,-155.7299,usgs,F,15,A,C2,E1,NA,NA,NA,NA,1.4150,,
164,1987-03-31,12:30,66.4500,-166.4500,usgs,F,5,A,NA,SF,165,177.41,107,170.10,6.8619,,
165,1987-04-03,14:38,67.0500,-167.2833,usgs,M,14,A,NA,AM,228,243.65,153,390.09,4.2034,,
166,1987-04-17,13:55,69.4667,-166.3500,usgs,F,7,A,NA,UF,197,210.76,115,184.61,5.2889,,
167,1987-04-18,14:00,69.2500,-166.4333,usgs,F,8,A,C1,E0,196,209.76,107,149.23,5.6821,,
167,1988-03-30,11:20,69.0333,-164.6667,usgs,F,9,A,C2,E1,178,191.76,107,136.08,4.6199,,
168,1987-04-18,19:00,69.0333,-166.0000,usgs,M,4,S,NA,SM,173,186.74,111,150.59,7.0914,,
169,1987-04-19,13:05,69.3500,-165.1500,usgs,M,4,S,NA,SM,199,212.74,135,218.63,5.2641,,
170,1987-04-19,15:20,69.0333,-165.5167,usgs,M,4,S,NA,SM,181,194.74,125,186.88,4.4660,,
171,1987-04-20,17:03,69.3000,-165.8000,usgs,F,4,S,NA,SF,179,191.41,119,161.48,4.5367,,
172,1987-04-22,12:20,69.3167,-166.0667,usgs,F,14,A,C1,E0,190,203.76,119,191.42,5.2484,,
173,1988-04-07,13:44,63.8667,-170.5500,usgs,F,9,A,C1,E0,185,198.76,120,231.33,6.2387,,
174,1988-04-07,17:08,63.9167,-170.3500,usgs,M,5,A,NA,SM,NA,NA,NA,NA,13.0897,,
175,1988-03-11,10:28,63.7833,-170.7667,usgs,F,2,D,NA,DY,NA,NA,NA,NA,3.7317,,
176,1989-03-28,14:25,71.8000,-157.1000,usgs,F,3,S,NA,SF,177,189.41,110,174.63,3.3089,,
177,1988-03-11,15:28,63.8500,-172.1667,usgs,F,12,A,C2,E1,186,199.76,121,254.01,4.0013,,
178,1988-03-12,11:08,63.7667,-170.2833,usgs,F,18,A,C2,E1,193,206.76,127,281.23,4.1255,,
179,1988-03-14,12:30,63.2000,-168.5333,usgs,F,7,A,C2,E1,183,196.76,122,217.72,2.3154,,
180,1988-03-14,17:16,63.3167,-168.7000,usgs,F,3,S,NA,SF,159,171.41,94,145.15,3.6724,,
181,1988-03-14,18:48,63.6833,-168.5167,usgs,F,7,A,NA,UF,189,202.76,121,240.40,2.3581,,
182,1988-03-15,12:48,63.6667,-172.0333,usgs,M,2,D,NA,DY,NA,NA,NA,NA,3.8244,,
183,1988-03-15,17:46,63.8667,-170.5000,usgs,F,7,A,NA,UF,194,207.76,115,217.72,4.2153,,
184,1988-03-18,12:04,66.7500,-163.8667,usgs,F,8,A,C1,E0,191,204.76,107,231.33,3.8933,,
185,1988-03-18,18:00,66.5667,-166.2500,usgs,F,11,A,C1,E0,190,203.76,115,201.85,4.5393,,
186,1988-03-19,0:00,66.5833,-165.5167,usgs,F,6,A,NA,UF,192,205.76,107,169.19,7.4941,,
187,1988-03-19,12:50,66.7167,-165.7167,usgs,F,5,A,NA,SF,172,184.41,116,195.04,5.3618,,
188,1988-03-19,18:20,66.8667,-165.7833,usgs,F,14,A,C2,E1,189,202.76,127,229.06,4.5251,,
189,1989-04-05,14:29,70.9000,-163.0333,usgs,F,10,A,NA,UF,NA,NA,NA,NA,3.1997,,
190,1988-03-28,12:15,69.2500,-169.0000,usgs,F,8,A,NA,UF,187,200.76,119,181.44,3.1814,,
190,1989-04-07,13:12,70.8667,-154.0000,usgs,F,9,A,C0,IF,190,203.76,116,172.36,2.3007,,
191,1988-03-28,14:25,69.3000,-168.2333,usgs,F,7,A,C1,E0,186,199.76,122,181.44,4.4403,,
192,1988-03-31,13:50,68.7333,-168.2000,usgs,F,6,A,NA,UF,183,196.76,116,195.04,4.2285,,
193,1988-10-17,15:35,70.4667,-143.2000,usgs,F,5,A,NA,IF,NA,NA,NA,NA,4.5933,,
193,1989-04-03,15:43,70.7000,-161.4000,usgs,F,6,A,NA,UF,180,193.76,106,172.36,3.2149,,
194,1988-04-01,13:18,69.7500,-167.0500,usgs,F,13,A,C2,E1,184,197.76,113,167.83,5.1576,,
195,1988-04-02,10:52,69.1500,-166.1000,usgs,F,5,A,NA,SF,186,198.41,125,167.83,4.2644,,
196,1988-04-02,12:50,69.7833,-166.7833,usgs,F,4,S,NA,SF,160,172.41,94,120.20,3.7805,,
197,1988-04-05,16:30,66.8500,-166.3333,usgs,F,11,A,C1,E0,178,191.76,116,163.29,2.4833,,
198,2004-04-03,0:00,71.5447,-156.2068,usgs,F,26,A,C2,E1,NA,NA,NA,NA,20.9367,,
199,1984-05-05,12:00,70.2000,-140.8167,usgs,F,12,A,C0,IF,183,196.76,115,167.83,6.4686,,
200,1985-04-24,16:04,70.4167,-142.5000,usgs,F,16,A,C0,IF,183,196.76,110.5,158.76,5.7295,,
201,1988-05-06,20:58,71.1167,-149.9333,usgs,M,8,A,NA,AM,215,230.65,142,327.95,2.6640,,
202,2008-05-10,20:07,70.2708,-143.4811,usgs,F,28,A,NA,UF,193,193.00,108.5,190.51,0.3169,,
203,1988-04-18,20:00,70.7333,-144.5333,usgs,F,8,A,C0,IF,178,191.76,95,132.45,1.9976,,
204,2014-04-12,15:51,71.1492,-149.7437,usgs,M,13,A,NA,AM,240,240.00,172,468.11,4.2493,,
205,2004-03-31,10:30,71.4060,-156.6831,usgs,M,4,S,NA,SM,NA,NA,NA,NA,10.9905,,
206,2006-04-12,0:00,70.6938,-147.4935,usgs,F,5,A,NA,SF,187,187.00,116,172.36,23.3982,,
